Date,Open,High,Low,Close,Adj Close,Volume
2022-12-19,4970.000000,4980.000000,4920.000000,4970.000000,4676.668945,82959800
2022-12-20,4930.000000,4970.000000,4890.000000,4910.000000,4620.209961,78671600
2022-12-21,4910.000000,4940.000000,4870.000000,4890.000000,4601.390137,71277800
2022-12-22,4910.000000,4970.000000,4900.000000,4960.000000,4667.258789,87321400
2022-12-23,4920.000000,4940.000000,4880.000000,4880.000000,4591.980469,53350600
2022-12-26,4900.000000,4930.000000,4890.000000,4930.000000,4639.029297,43581100
2022-12-27,4930.000000,4950.000000,4860.000000,4870.000000,4582.570801,74123800
2022-12-28,4870.000000,4880.000000,4810.000000,4820.000000,4535.521973,117912500
2022-12-29,4820.000000,4870.000000,4800.000000,4870.000000,4582.570801,106690700
2022-12-30,4870.000000,4950.000000,4870.000000,4940.000000,4648.439453,182091500
2023-01-02,4910.000000,4920.000000,4820.000000,4870.000000,4582.570801,100200100
2023-01-03,4830.000000,4900.000000,4830.000000,4850.000000,4563.751465,95136500
2023-01-04,4850.000000,4850.000000,4770.000000,4770.000000,4488.472656,188071000
2023-01-05,4750.000000,4760.000000,4570.000000,4640.000000,4366.145508,292142000
2023-01-06,4550.000000,4640.000000,4550.000000,4620.000000,4347.325684,175932000
2023-01-09,4580.000000,4640.000000,4550.000000,4590.000000,4319.096191,166164900
2023-01-10,4550.000000,4570.000000,4410.000000,4430.000000,4220.957031,282510000
2023-01-11,4410.000000,4430.000000,4360.000000,4380.000000,4173.316406,211610100
2023-01-12,4480.000000,4520.000000,4410.000000,4500.000000,4287.653809,210887800
2023-01-13,4510.000000,4530.000000,4420.000000,4480.000000,4268.597656,134592100
2023-01-16,4430.000000,4530.000000,4420.000000,4520.000000,4306.709961,172170900
2023-01-17,4520.000000,4580.000000,4510.000000,4560.000000,4344.822754,150577400
2023-01-18,4560.000000,4620.000000,4560.000000,4600.000000,4382.935059,178026000
2023-01-19,4590.000000,4630.000000,4580.000000,4610.000000,4392.462891,117204100
2023-01-20,4630.000000,4670.000000,4620.000000,4650.000000,4430.575684,116038300
2023-01-24,4660.000000,4680.000000,4590.000000,4620.000000,4401.991211,81964700
2023-01-25,4620.000000,4620.000000,4550.000000,4560.000000,4344.822754,84009300
